* Ebeam         Eprime        Theta        x              Q2            W2           RC-deut       RC-carbon      RC_C/RC_D     Coulomb Cor.
  10.58900      2.730000      21.00000     0.2604000      3.840100      11.78801     0.8700287     0.8819576      1.013711      1.001300    
  10.58900      2.740000      21.00000     0.2617000      3.854200      11.75515     0.8717561     0.8836051      1.013592      1.001300    
  10.58900      2.750000      21.00000     0.2630000      3.868200      11.72238     0.8735068     0.8852723      1.013469      1.001300    
  10.58900      2.760000      21.00000     0.2643000      3.882300      11.68952     0.8751534     0.8869392      1.013467      1.001300    
  10.58900      2.770000      21.00000     0.2656000      3.896400      11.65665     0.8769466     0.8885766      1.013262      1.001300    
  10.58900      2.780000      21.00000     0.2669000      3.910400      11.62389     0.8786627     0.8902335      1.013169      1.001300    
  10.58900      2.790000      21.00000     0.2682000      3.924500      11.59102     0.8803714     0.8918366      1.013023      1.001300    
  10.58900      2.800000      21.00000     0.2695000      3.938600      11.55816     0.8820580     0.8934616      1.012928      1.001300    
  10.58900      2.810000      21.00000     0.2708000      3.952600      11.52539     0.8837343     0.8950554      1.012811      1.001300    
  10.58900      2.820000      21.00000     0.2721000      3.966700      11.49253     0.8853893     0.8966684      1.012739      1.001300    
  10.58900      2.830000      21.00000     0.2734000      3.980800      11.45966     0.8870793     0.8982248      1.012564      1.001300    
  10.58900      2.840000      21.00000     0.2747000      3.994800      11.42689     0.8887141     0.8998027      1.012477      1.001300    
  10.58900      2.850000      21.00000     0.2760000      4.008900      11.39403     0.8903540     0.9013750      1.012378      1.001400    
  10.58900      2.860000      21.00000     0.2774000      4.023000      11.36116     0.8919688     0.9029137      1.012270      1.001400    
  10.58900      2.870000      21.00000     0.2787000      4.037000      11.32840     0.8936054     0.9044737      1.012162      1.001400    
  10.58900      2.880000      21.00000     0.2800000      4.051100      11.29553     0.8952144     0.9059991      1.012047      1.001400    
  10.58900      2.890000      21.00000     0.2814000      4.065200      11.26266     0.8967951     0.9075203      1.011959      1.001400    
  10.58900      2.900000      21.00000     0.2827000      4.079200      11.22990     0.8983973     0.9090574      1.011866      1.001400    
  10.58900      2.910000      21.00000     0.2841000      4.093300      11.19703     0.8999878     0.9105351      1.011719      1.001400    
  10.58900      2.920000      21.00000     0.2854000      4.107400      11.16417     0.9016140     0.9120573      1.011583      1.001400    
  10.58900      2.930000      21.00000     0.2868000      4.121400      11.13140     0.9031329     0.9135717      1.011559      1.001400    
  10.58900      2.940000      21.00000     0.2881000      4.135500      11.09854     0.9045899     0.9150224      1.011533      1.001400    
  10.58900      2.950000      21.00000     0.2895000      4.149600      11.06567     0.9061622     0.9165203      1.011431      1.001400    
  10.58900      2.960000      21.00000     0.2908000      4.163600      11.03291     0.9077377     0.9180096      1.011316      1.001400    
  10.58900      2.970000      21.00000     0.2922000      4.177700      11.00004     0.9092656     0.9194629      1.011215      1.001400    
  10.58900      2.980000      21.00000     0.2936000      4.191800      10.96718     0.9107811     0.9209043      1.011115      1.001400    
  10.58900      2.990000      21.00000     0.2949000      4.205800      10.93441     0.9122988     0.9223937      1.011065      1.001400    
  10.58900      3.000000      21.00000     0.2963000      4.219900      10.90155     0.9138017     0.9238155      1.010958      1.001400    
  10.58900      3.010000      21.00000     0.2977000      4.234000      10.86868     0.9153236     0.9252272      1.010820      1.001500    
  10.58900      3.020000      21.00000     0.2991000      4.248000      10.83591     0.9168133     0.9266869      1.010769      1.001500    
  10.58900      3.030000      21.00000     0.3005000      4.262100      10.80305     0.9183059     0.9281056      1.010671      1.001500    
  10.58900      3.040000      21.00000     0.3019000      4.276200      10.77018     0.9197637     0.9295133      1.010600      1.001500    
  10.58900      3.050000      21.00000     0.3033000      4.290200      10.73742     0.9212222     0.9309099      1.010516      1.001500    
